energy-kcal_100g,energy_100g,fat_100g,carbohydrates_100g,proteins_100g
106.0,444.0,4.42,4.42,10.62
36.723163841808,154.0,0.0,9.0395480225989,0.0
229.51,960.0,9.84,34.43,3.28
515.4,2154.8,49.992,26.82666666666666,16.866
139.0,582.0,10.375,3.57500004768372,6.92500019073486
20.7,86.8,0.0,4.13,0.826
327.27272727273,1369.0,18.181818181818,43.636363636364,27.272727272727
41.0,172.0,0.0,9.41,3.53
158.98,1041.8,3.7,22.018448275862,11.588
269.0,1130.0,3.85,48.1,11.5
37.0,155.0,1.20000004768372,5.40000009536743,0.800000011920929
515.4,2154.8,49.992,26.82666666666666,16.866
41.666666666667,174.0,0.0,10.416666666667,0.0
24.0,100.0,0.0,4.71,2.35
314.0,1310.0,10.0,45.7,11.4
400.0,1674.0,5.5555555555556,84.444444444444,4.4444444444444
0.0,0.0,0.0,0.0,0.0
61.4,1083.6,1.8,19.0,2.8940000023841863
515.4,2154.8,43.736,15.079999999999998,16.866
112.0,469.0,0.0,20.0,8.0
196.3294117647058,1185.8,7.1399999777476,9.36096254777144,302.35999998092655
